,Date,Max Air Temp (F),Avg Air Temp (F),Min Air Temp (F),Max Dew Point (F),Avg Dew Point (F),Min Dew Point (F),Max Rel Hum (%),Avg Rel Hum (%),Min Rel Hum (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Precip (in)
15,15,77,62.1,48,47,41.2,35,86,52.5,23,6,1.8,0,29.6,29.5,29.4,0.00
16,16,76,63.4,52,41,33.3,0,62,36.9,18,13,7.2,3,29.5,29.5,29.4,0.00
17,17,70,54.7,39,38,30.5,0,79,47.3,19,9,2.5,0,29.6,29.5,29.5,0.00
18,18,69,56.4,41,37,28.8,0,76,44.0,18,12,3.5,0,29.6,29.5,29.4,0.00
19,19,65,56.5,50,52,43.6,37,89,64.1,39,17,3.5,0,29.5,29.5,29.5,0.00
20,20,61,54.2,47,54,48.1,34,89,80.6,55,23,12.8,0,29.5,29.5,29.4,0.00
21,21,64,51.5,40,36,26.9,14,79,43.5,16,16,9.7,0,29.6,29.6,29.5,0.00
22,22,62,51.0,40,24,20.8,16,53,32.4,18,20,9.6,0,29.7,29.6,29.5,0.00
23,23,71,55.2,44,34,21.6,0,58,30.7,15,14,6.8,0,29.6,29.6,29.4,0.00
24,24,72,56.2,42,40,32.5,0,76,49.5,24,6,1.0,0,29.5,29.5,29.4,0.00
25,25,68,55.3,41,50,41.5,36,89,62.5,39,12,3.4,0,29.4,29.4,29.3,0.00
26,26,67,53.5,44,50,44.8,39,97,75.9,36,6,1.4,0,29.4,29.4,29.4,0.00
27,27,70,59.8,52,49,47.3,45,86,65.0,42,14,6.0,0,29.4,29.4,29.3,0.00
28,28,65,57.8,53,49,46.7,44,86,67.3,48,9,3.0,0,29.6,29.5,29.4,0.00
29,29,76,61.6,45,48,43.7,39,90,57.4,26,8,2.8,0,29.6,29.5,29.5,0.00
30,30,77,62.7,47,57,46.2,42,93,58.9,32,8,3.5,0,29.5,29.4,29.4,0.00
31,31,60,55.6,50,56,52.2,48,96,88.9,67,12,4.8,0,29.5,29.5,29.4,0.00
1,1,64,55.7,50,50,49.3,46,96,80.0,52,8,2.5,0,29.6,29.6,29.5,0.00
2,2,74,60.5,48,49,46.4,43,90,63.8,34,7,2.8,0,29.6,29.6,29.5,0.00
3,3,72,60.5,48,55,49.9,45,89,70.3,44,5,1.6,0,29.6,29.5,29.4,0.00
4,4,61,57.8,54,54,52.5,50,90,82.5,75,25,12.1,0,29.5,29.4,29.3,0.00
5,5,62,55.9,51,54,50.2,48,94,81.7,60,10,5.2,0,29.6,29.5,29.5,0.00
6,6,67,58.8,53,53,50.0,48,93,73.8,52,17,9.0,0,29.6,29.5,29.5,0.00
7,7,65,58.0,52,53,44.8,36,87,62.4,38,21,12.8,3,29.5,29.4,29.2,0.00
8,8,66,56.2,47,41,27.3,22,80,35.6,19,18,10.8,0,29.6,29.4,29.2,0.00
9,9,75,60.3,47,42,29.2,0,56,38.4,21,13,6.3,0,29.6,29.6,29.5,0.00
10,10,82,67.5,51,49,44.0,40,74,44.8,29,12,6.0,0,29.6,29.5,29.4,0.00
11,11,77,66.0,56,41,24.8,0,45,29.2,16,21,12.2,7,29.5,29.4,29.3,0.00
12,12,81,69.2,60,36,21.6,0,39,26.4,15,14,7.3,0,29.4,29.3,29.2,0.00
13,13,75,62.0,48,44,35.5,25,80,42.7,18,14,4.8,0,29.3,29.3,29.2,0.00
14,14,70,58.5,50,33,27.1,0,47,34.3,25,13,7.5,3,29.4,29.3,29.2,0.00
15,15,61,52.6,46,33,26.8,0,54,40.3,23,16,8.6,3,29.4,29.3,29.3,0.00
16,16,65,54.0,45,30,24.8,17,48,34.1,16,21,10.0,3,29.7,29.6,29.5,0.00
17,17,69,54.9,38,31,21.9,0,76,38.2,15,18,7.2,0,29.8,29.7,29.7,0.00
18,18,79,62.6,46,47,28.4,0,64,39.2,20,14,7.2,0,29.8,29.7,29.6,0.00
19,19,81,64.4,48,47,41.9,36,80,48.9,22,12,4.5,0,29.7,29.6,29.5,0.00
20,20,83,68.6,57,38,25.5,0,42,27.5,15,18,9.3,0,29.6,29.5,29.4,0.00
21,21,86,73.0,61,41,30.6,0,35,25.4,16,21,8.8,3,29.5,29.5,29.4,0.00
22,22,83,72.2,64,39,31.7,18,39,24.4,13,24,15.8,9,29.5,29.4,29.4,0.00
23,23,84,70.8,60,30,19.8,14,26,15.0,9,21,13.5,3,29.5,29.4,29.3,0.00
24,24,86,73.1,60,29,20.8,12,31,14.8,9,20,11.2,0,29.4,29.3,29.2,0.00
25,25,82,63.9,43,46,39.5,31,71,43.7,24,14,4.5,0,29.5,29.4,29.3,0.00
26,26,86,67.4,50,54,47.5,44,80,53.6,23,9,2.4,0,29.6,29.6,29.5,0.00
27,27,89,71.5,53,55,49.5,39,86,51.9,17,9,2.6,0,29.6,29.6,29.4,0.00
28,28,91,75.9,57,53,41.1,34,72,35.3,14,12,6.7,0,29.5,29.4,29.3,0.00
29,29,84,74.7,67,43,38.7,34,34,27.4,22,20,11.8,6,29.4,29.3,29.2,0.00
30,30,79,68.7,59,34,21.1,13,30,17.6,9,22,13.7,9,29.5,29.4,29.3,0.00
1,1,86,71.2,59,22,13.8,7,22,11.8,6,29,17.4,6,29.6,29.6,29.5,0.00
2,2,89,74.2,61,46,22.0,9,56,17.3,8,12,5.8,0,29.7,29.6,29.5,0.00
3,3,94,75.0,52,44,32.0,0,71,30.8,9,18,7.1,0,29.5,29.4,29.3,0.00
4,4,86,77.5,71,33,24.4,0,22,16.9,12,29,18.3,5,29.3,29.2,29.0,0.00
5,5,77,67.8,59,52,38.6,0,72,42.0,22,17,7.5,0,29.3,29.1,29.0,0.00
6,6,65,60.5,57,55,51.7,46,89,73.5,54,17,6.7,0,29.4,29.3,29.3,0.00
7,7,69,61.3,55,55,53.3,51,94,76.1,54,8,2.0,0,29.5,29.4,29.4,0.00
8,8,77,67.3,61,56,53.7,50,81,63.5,40,9,3.0,0,29.5,29.5,29.4,0.00
9,9,88,72.3,57,56,52.1,47,87,54.6,25,8,3.4,0,29.6,29.5,29.4,0.00
10,10,95,78.1,57,62,53.4,41,88,48.7,15,8,3.3,0,29.6,29.5,29.4,0.00
11,11,92,79.0,65,62,57.2,54,78,50.6,29,10,3.3,0,29.5,29.5,29.4,0.00
12,12,93,79.2,63,61,47.9,0,84,44.5,11,14,5.3,0,29.5,29.5,29.4,0.00
13,13,92,75.9,60,50,46.2,41,67,38.3,17,14,4.7,0,29.5,29.4,29.4,0.00
14,14,94,79.0,63,46,41.3,33,54,29.8,13,9,5.6,0,29.4,29.3,29.2,0.00
15,18,81,67.3,48,46,40.3,36,82,42.6,20,14,3.6,0,29.6,29.5,29.5,0.00
16,19,84,72.5,61,37,35.8,34,42,27.7,16,20,13.4,8,29.6,29.6,29.5,0.00
17,20,70,69.0,68,39,38.0,37,35,33.0,31,6,3.0,0,29.3,29.3,29.3,0.00
18,21,73,65.8,52,39,26.7,0,39,25.0,16,21,10.1,0,29.5,29.3,29.3,0.00
19,22,73,59.1,46,31,21.1,0,42,26.5,11,15,9.1,0,29.5,29.4,29.3,0.00
20,23,74,58.0,0,34,16.0,0,45,28.8,0,13,7.6,0,29.4,29.4,29.3,0.00
21,24,77,64.3,46,38,32.3,0,71,36.1,15,12,3.2,0,29.4,29.4,29.3,0.00
22,25,81,66.8,50,47,36.8,0,68,38.3,18,14,4.8,0,29.4,29.4,29.3,0.00
23,26,78,68.1,59,47,42.4,37,60,40.7,26,14,7.2,0,29.5,29.4,29.4,0.00
24,27,66,60.3,56,55,51.6,39,94,74.7,39,16,7.8,0,29.5,29.4,29.4,0.00
25,28,77,64.5,56,55,51.1,43,94,66.5,30,12,6.9,0,29.4,29.4,29.3,0.00
26,29,82,71.3,62,51,40.0,31,60,34.9,16,13,7.5,3,29.4,29.3,29.3,0.00
27,30,86,71.0,54,43,32.6,0,66,30.5,10,10,5.0,0,29.4,29.4,29.3,0.00
28,31,94,78.0,63,40,30.0,0,41,24.0,10,15,9.5,3,29.5,29.4,29.3,0.00
1,1,99,85.4,73,42,34.9,0,27,18.2,10,18,10.5,3,29.4,29.3,29.2,0.00
2,2,97,84.8,71,44,39.9,35,34,21.7,11,15,8.9,5,29.2,29.1,29.1,0.00
3,3,100,85.9,74,46,35.5,0,37,19.6,6,17,9.6,0,29.2,29.2,29.1,0.00
4,4,104,82.0,60,62,47.2,27,64,36.1,7,16,4.5,0,29.3,29.2,29.2,0.00
5,5,96,79.5,63,62,56.8,54,81,49.0,27,14,4.3,0,29.4,29.3,29.2,0.00
6,6,102,83.7,66,67,56.8,31,81,47.3,8,10,3.0,0,29.3,29.3,29.2,0.00
7,7,109,90.0,68,66,53.6,41,76,36.1,11,12,5.6,0,29.3,29.2,29.1,0.00
8,8,110,96.6,85,49,43.3,34,28,17.6,8,22,12.5,8,29.2,29.2,29.1,0.00
9,9,100,86.5,75,59,52.5,43,48,32.5,19,20,9.6,5,29.2,29.1,29.1,0.00
10,10,73,68.5,65,55,53.0,51,66,57.8,49,17,9.6,3,29.4,29.3,29.2,0.00
11,11,85,74.6,64,57,49.0,0,75,46.3,22,14,5.4,0,29.4,29.3,29.3,0.00
12,12,88,75.2,64,41,31.6,0,39,24.5,9,13,7.2,0,29.4,29.3,29.3,0.00
13,13,86,74.1,62,39,31.1,0,41,25.1,13,15,8.9,3,29.5,29.5,29.4,0.00
14,14,92,76.6,64,38,30.6,0,34,21.7,9,16,9.3,3,29.5,29.4,29.2,0.00
15,15,92,76.0,55,43,37.1,0,64,30.0,11,15,4.7,0,29.3,29.3,29.2,0.00
16,16,92,77.0,56,45,40.7,34,64,31.4,13,13,4.6,0,29.4,29.4,29.3,0.00
17,17,91,76.2,57,46,43.4,39,64,34.1,18,20,7.5,0,29.4,29.4,29.3,0.00
18,18,81,69.7,60,47,40.2,30,58,36.3,17,17,7.4,0,29.4,29.3,29.3,0.00
19,19,79,67.6,53,43,34.9,0,62,33.8,18,9,4.5,0,29.5,29.4,29.4,0.00
20,20,85,72.8,58,41,33.1,0,51,30.0,15,9,5.1,0,29.4,29.4,29.3,0.00
21,21,90,77.4,66,41,31.8,0,37,22.9,6,15,8.3,0,29.4,29.4,29.3,0.00
22,22,94,80.9,66,45,33.8,0,36,22.9,11,14,7.0,0,29.4,29.3,29.2,0.00
23,23,80,71.1,64,63,52.8,44,94,55.3,33,17,7.8,0,29.3,29.2,29.1,0.00
24,24,68,63.8,60,59,54.9,45,94,74.5,43,22,12.9,5,29.3,29.3,29.2,0.00
25,25,72,64.2,60,65,60.7,57,94,88.7,76,24,11.2,0,29.4,29.3,29.3,0.00
26,26,86,72.8,64,64,61.3,57,88,69.4,37,12,5.5,0,29.4,29.4,29.4,0.00
27,27,95,80.4,64,63,58.9,50,90,53.5,22,7,2.9,0,29.5,29.5,29.4,0.00
28,28,107,89.0,69,61,55.2,42,75,38.3,11,10,5.8,0,29.5,29.4,29.3,0.00
29,29,107,89.6,69,62,53.1,35,76,36.2,9,8,3.3,0,29.4,29.3,29.2,0.00
30,30,109,91.1,70,62,54.1,40,71,34.9,10,10,3.4,0,29.3,29.2,29.1,0.00
1,1,109,90.8,72,61,55.8,40,68,35.7,10,7,3.7,0,29.3,29.2,29.2,0.00
2,2,115,96.3,76,63,58.5,48,62,31.9,11,16,6.7,0,29.3,29.3,29.2,0.00
3,3,112,95.1,82,64,58.4,51,54,31.2,15,18,6.4,0,29.3,29.2,29.2,0.00
4,4,108,95.7,86,53,48.0,42,29,20.5,11,14,8.2,5,29.2,29.1,29.0,0.00
5,5,100,88.4,78,54,46.4,38,43,24.5,13,14,7.8,0,29.1,29.1,29.1,0.00
6,6,96,81.9,67,57,53.2,46,66,40.3,19,13,4.3,0,29.2,29.1,29.1,0.00
7,7,99,83.4,67,59,48.3,33,73,36.2,10,14,4.7,0,29.2,29.2,29.1,0.00
8,8,99,83.4,66,53,41.0,0,59,28.2,8,14,5.2,0,29.4,29.3,29.3,0.00
9,9,99,82.8,64,49,41.1,21,58,28.5,6,13,4.9,0,29.4,29.4,29.3,0.00
10,10,101,86.0,67,48,43.1,33,49,25.3,10,18,6.9,0,29.4,29.3,29.2,0.00
11,11,95,80.6,63,50,39.8,20,58,28.9,7,13,4.0,0,29.3,29.3,29.2,0.00
12,12,93,78.6,61,51,41.7,0,63,33.5,8,14,5.0,0,29.4,29.3,29.2,0.00
13,13,96,81.7,65,48,40.8,26,50,27.3,8,14,3.8,0,29.4,29.3,29.3,0.00
14,14,100,83.4,63,49,39.0,26,56,25.4,8,12,5.0,0,29.4,29.3,29.2,0.00
15,15,97,81.3,62,51,46.5,41,60,32.3,16,14,5.5,0,29.3,29.2,29.1,0.00
16,16,90,76.4,64,49,41.5,0,56,33.8,13,14,6.0,0,29.4,29.3,29.2,0.00
17,17,97,78.4,57,46,37.1,21,67,30.0,6,8,2.5,0,29.5,29.4,29.4,0.00
18,18,102,83.0,61,47,39.7,0,56,27.4,7,12,4.5,0,29.5,29.4,29.3,0.00
19,19,107,86.7,64,56,49.0,40,58,30.9,10,12,5.1,0,29.4,29.3,29.2,0.00
20,20,110,90.3,69,63,54.7,43,65,34.5,11,13,4.0,0,29.2,29.2,29.0,0.00
21,21,106,89.1,71,63,58.6,50,70,39.5,17,15,4.2,0,29.2,29.2,29.1,0.00
22,22,100,86.1,72,63,49.5,33,54,30.7,10,15,5.8,0,29.4,29.3,29.2,0.00
23,23,98,83.4,70,56,49.9,45,53,33.4,18,17,5.5,0,29.4,29.4,29.3,0.00
24,24,101,86.2,73,57,52.7,48,57,34.0,17,9,4.8,0,29.4,29.3,29.3,0.00
25,25,106,89.6,73,66,58.1,49,64,37.8,16,15,5.5,0,29.4,29.3,29.2,0.00
26,26,103,88.7,76,64,57.7,53,62,37.5,19,14,5.5,0,29.5,29.4,29.3,0.00
27,27,103,88.5,72,62,56.8,52,64,36.8,19,17,6.0,0,29.4,29.3,29.2,0.00
28,28,100,85.2,70,63,54.7,46,63,38.6,16,16,5.4,0,29.3,29.2,29.1,0.00
29,29,90,79.2,67,59,48.6,43,51,35.7,20,17,6.7,0,29.4,29.3,29.2,0.00
30,30,93,77.5,62,51,48.8,43,67,40.0,18,8,3.1,0,29.5,29.4,29.4,0.00
31,31,94,80.1,66,54,48.3,41,61,35.5,17,14,5.0,0,29.4,29.4,29.3,0.00
1,1,90,76.8,65,54,46.9,38,61,37.3,17,14,6.2,0,29.4,29.4,29.3,0.00
2,2,95,79.9,63,52,38.4,18,60,28.3,6,14,5.8,0,29.4,29.3,29.3,0.00
3,3,95,79.4,61,46,41.5,33,54,29.1,12,12,4.7,0,29.4,29.3,29.3,0.00
4,4,97,79.2,61,48,41.5,29,62,31.3,9,15,3.7,0,29.4,29.3,29.3,0.00
5,5,96,78.6,60,46,41.1,29,57,30.6,10,10,3.6,0,29.4,29.4,29.3,0.00
6,6,96,77.8,59,50,43.5,34,60,33.5,12,13,4.4,0,29.4,29.4,29.3,0.00
7,7,86,73.7,62,55,51.3,46,70,47.8,26,14,6.2,0,29.5,29.4,29.4,0.00
8,8,88,73.3,59,55,48.8,42,75,46.5,20,13,3.6,0,29.4,29.4,29.3,0.00
9,9,86,74.3,61,48,45.7,40,62,39.0,20,15,5.0,0,29.4,29.3,29.3,0.00
10,10,89,74.1,58,50,47.3,42,65,41.5,20,10,3.4,0,29.5,29.4,29.4,0.00
11,11,93,78.3,61,51,48.4,43,70,38.9,18,12,3.9,0,29.4,29.4,29.3,0.00
12,12,95,79.2,63,51,43.9,0,63,34.2,11,12,3.9,0,29.4,29.4,29.3,0.00
13,13,98,81.1,62,48,37.1,0,60,29.2,8,12,4.0,0,29.4,29.4,29.3,0.00
14,14,99,82.8,65,45,41.5,34,48,25.8,11,13,4.4,0,29.4,29.3,29.3,0.00
15,15,97,81.3,63,51,43.9,39,54,29.5,13,15,4.7,0,29.4,29.3,29.3,0.00
16,16,98,82.4,66,54,49.0,45,52,33.5,16,10,3.3,0,29.4,29.4,29.3,0.00
17,17,100,85.0,68,55,50.8,46,63,34.1,16,7,2.1,0,29.4,29.3,29.2,0.00
18,18,109,90.4,73,62,52.3,36,51,30.8,9,13,7.0,0,29.3,29.2,29.1,0.00
19,19,101,87.5,71,59,53.7,48,63,35.0,17,21,5.7,0,29.3,29.3,29.2,0.00
20,20,97,84.4,77,59,55.5,51,50,38.4,21,14,3.3,0,29.3,29.2,29.2,0.00
21,21,97,79.3,0,59,55.3,0,61,42.5,0,16,3.8,0,29.3,29.3,29.2,0.00
22,22,94,79.9,67,60,50.8,42,70,40.4,17,10,4.0,0,29.3,29.3,29.2,0.00
23,23,94,77.9,60,55,47.4,41,62,37.7,16,15,4.3,0,29.3,29.3,29.1,0.00
24,24,89,76.1,62,57,51.2,46,67,44.0,23,16,4.9,0,29.3,29.2,29.2,0.00
25,25,87,76.7,67,56,53.2,48,68,45.8,28,17,7.5,0,29.4,29.3,29.3,0.00
26,26,87,75.0,64,51,45.6,38,58,37.8,20,10,2.1,0,29.4,29.4,29.3,0.00
27,27,94,77.0,57,49,40.0,0,62,32.2,11,16,5.9,0,29.3,29.3,29.2,0.00
28,28,92,77.0,58,50,44.0,39,62,34.0,16,13,4.0,0,29.3,29.3,29.2,0.00
29,29,92,77.3,61,56,48.0,43,58,37.8,19,13,4.9,0,29.4,29.4,29.3,0.00
30,30,97,81.5,67,51,47.3,43,54,33.0,16,10,3.5,0,29.5,29.4,29.3,0.00
31,31,98,82.4,64,52,45.9,34,60,32.0,11,14,5.0,0,29.4,29.3,29.2,0.00
1,1,89,76.8,62,47,43.5,37,58,32.9,16,16,4.4,0,29.3,29.3,29.2,0.00
2,2,88,75.0,59,54,49.3,45,62,41.6,26,18,6.8,0,29.4,29.3,29.3,0.00
3,3,89,73.8,58,54,49.5,42,75,45.6,21,17,4.0,0,29.4,29.4,29.3,0.00
4,4,89,73.7,57,52,45.3,35,75,41.8,15,10,3.8,0,29.4,29.4,29.3,0.00
5,5,85,73.0,59,51,45.9,41,62,39.5,25,13,5.0,0,29.4,29.4,29.3,0.00
6,6,94,79.1,66,46,43.4,38,45,30.4,14,18,8.1,3,29.5,29.4,29.3,0.00
7,7,97,81.8,62,45,38.7,25,50,24.8,8,8,3.9,0,29.3,29.3,29.2,0.00
8,8,102,82.0,59,44,40.0,35,51,26.5,10,9,3.8,0,29.3,29.3,29.1,0.00
9,9,105,89.3,71,48,39.3,28,44,20.1,7,21,10.0,0,29.3,29.2,29.1,0.00
10,10,105,86.9,64,59,41.9,30,45,24.8,8,12,5.4,0,29.3,29.1,29.1,0.00
11,11,92,77.6,64,57,54.0,50,70,46.7,24,12,4.3,0,29.4,29.3,29.3,0.00
12,12,91,74.9,60,58,55.1,53,78,53.0,28,10,2.3,0,29.4,29.3,29.2,0.00
13,13,95,79.2,64,60,56.2,52,73,48.6,24,14,3.9,0,29.3,29.2,29.1,0.00
14,14,94,79.1,65,60,57.3,55,75,50.2,27,9,2.7,0,29.2,29.1,29.1,0.00
15,15,86,74.3,64,58,51.3,45,73,47.9,24,13,5.6,0,29.3,29.2,29.1,0.00
16,16,89,73.6,57,49,45.8,40,69,40.7,18,12,3.4,0,29.3,29.3,29.2,0.00
17,17,84,72.8,66,51,46.2,41,59,39.8,22,20,7.2,0,29.4,29.2,29.2,0.00
18,18,87,73.1,64,41,35.5,24,43,28.0,10,21,10.8,3,29.4,29.3,29.3,0.00
19,19,91,74.5,56,41,35.3,25,51,28.0,10,9,4.0,0,29.3,29.2,29.2,0.00
20,20,83,68.8,52,60,42.1,34,84,42.4,18,25,8.3,0,29.2,29.1,29.1,0.00
21,21,66,58.4,52,59,53.6,48,94,84.9,63,21,8.4,0,29.4,29.2,29.2,0.00
22,22,71,58.6,50,53,49.5,47,96,75.1,42,8,2.6,0,29.4,29.4,29.4,0.00
