,index,Date,Max Air Temp (F),Avg Air Temp (F),Min Air Temp (F),Max Dew Point (F),Avg Dew Point (F),Min Dew Point (F),Max Rel Hum (%),Avg Rel Hum (%),Min Rel Hum (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Precip (in)
171,21.0,21,54,49.8,44,52,47.0,40,100,90.9,71,23,13.3,0,30.1,30.0,29.9,0.00
172,22.0,22,52,47.0,42,47,43.2,40,93,86.6,74,10,4.8,0,30.1,30.1,30.0,0.00
173,23.0,23,56,48.0,39,48,43.6,37,100,85.5,72,15,2.9,0,30.1,30.0,30.0,0.00
174,24.0,24,55,50.3,48,48,46.9,45,100,88.5,74,12,4.8,0,30.1,30.1,30.1,0.00
175,25.0,25,55,50.0,42,51,46.5,41,100,88.3,74,14,5.7,0,30.1,30.0,30.0,0.00
176,26.0,26,57,52.9,51,54,51.8,50,100,96.4,81,14,5.9,0,30.1,30.1,30.0,0.00
177,27.0,27,54,53.3,51,54,53.2,51,100,99.8,94,22,15.1,5,30.0,29.9,29.9,0.00
178,28.0,28,59,53.6,51,55,52.6,51,100,96.8,83,23,6.8,0,30.0,29.9,29.9,0.00
179,29.0,29,57,53.6,50,54,52.5,49,100,95.9,86,18,7.8,0,30.1,30.0,29.8,0.00
180,30.0,30,60,49.4,43,52,47.0,43,100,92.4,75,16,6.4,0,30.1,30.1,30.1,0.00
181,31.0,31,59,51.6,44,52,47.6,43,100,86.9,70,18,7.1,0,30.2,30.1,30.1,0.00
182,1.0,1,59,52.2,45,52,49.3,43,100,90.0,78,15,6.6,0,30.1,30.1,30.0,0.00
183,2.0,2,58,53.2,50,52,50.0,47,100,89.5,77,32,11.7,0,30.0,29.9,29.8,0.00
184,3.0,3,58,53.6,49,50,47.9,46,90,80.9,72,24,16.9,0,29.8,29.8,29.8,0.00
185,4.0,4,54,51.2,45,50,48.2,45,100,90.0,82,20,8.1,0,29.9,29.9,29.8,0.00
186,5.0,5,54,50.7,48,50,49.3,48,100,95.1,86,17,6.5,0,30.0,29.9,29.9,0.00
187,6.0,6,56,52.0,50,52,49.7,48,100,92.3,80,15,6.2,0,30.0,29.9,29.9,0.00
188,7.0,7,62,54.6,49,52,49.5,44,100,84.5,52,23,10.6,0,30.0,29.9,29.9,0.00
189,8.0,8,61,55.2,50,51,48.7,45,96,79.9,63,23,15.8,7,29.9,29.8,29.8,0.00
190,9.0,9,59,53.8,49,49,47.1,45,86,78.4,69,23,16.7,5,29.8,29.8,29.7,0.00
191,10.0,10,58,52.3,50,49,47.8,46,96,84.9,72,17,9.0,0,30.0,29.9,29.8,0.00
192,11.0,11,57,53.0,48,50,47.8,46,93,82.7,72,25,12.1,0,30.1,30.0,30.0,0.00
193,12.0,12,57,48.5,42,50,46.0,41,100,91.8,74,21,6.1,0,30.1,30.1,30.1,0.00
194,13.0,13,57,48.7,39,52,46.6,39,100,93.0,77,14,4.6,0,30.3,30.2,30.1,0.00
195,14.0,14,59,48.7,43,50,46.3,43,100,92.0,72,17,6.5,0,30.2,30.1,29.9,0.00
196,15.0,15,57,53.0,49,54,50.6,48,100,91.7,86,14,3.6,0,30.0,30.0,29.9,0.00
197,16.0,16,59,54.2,51,52,50.2,48,100,87.1,77,10,2.8,0,30.1,30.1,30.0,0.00
198,17.0,17,59,53.5,50,54,52.6,50,100,96.7,81,13,7.8,0,30.1,30.1,30.0,0.00
199,18.0,18,59,54.7,52,55,53.3,52,100,94.6,83,13,6.6,0,30.0,30.0,30.0,0.00
200,19.0,19,60,55.0,49,57,53.4,48,100,94.2,78,14,6.7,0,30.1,30.1,30.0,0.00
201,20.0,20,61,53.8,48,55,50.3,46,97,88.5,75,9,4.6,0,30.1,30.1,30.1,0.00
202,21.0,21,62,53.3,46,55,51.1,45,100,92.8,75,16,4.6,0,30.1,30.1,30.0,0.00
203,22.0,22,59,54.9,52,55,53.1,50,100,93.5,83,10,6.4,0,30.0,30.0,29.9,0.00
204,23.0,23,63,56.5,54,60,55.6,54,100,96.9,82,17,7.5,0,29.9,29.8,29.7,0.00
205,24.0,24,57,54.9,54,56,54.3,53,100,97.6,89,13,8.6,3,29.8,29.7,29.7,0.00
206,25.0,25,59,56.8,55,58,56.0,55,100,97.4,93,16,10.5,3,29.9,29.8,29.7,0.00
207,26.0,26,66,59.2,55,61,58.0,55,100,96.1,84,13,8.5,3,30.0,29.9,29.9,0.00
208,27.0,27,65,58.7,54,61,57.2,54,100,95.3,84,10,5.4,0,30.1,30.1,30.0,0.00
209,28.0,28,68,56.9,52,60,55.4,52,100,95.0,70,10,2.9,0,30.1,30.1,30.0,0.00
210,29.0,29,72,60.7,54,62,56.9,52,100,87.9,68,9,3.9,0,30.0,30.0,29.9,0.00
211,30.0,30,64,60.5,56,61,58.3,56,100,92.8,82,10,5.7,0,29.9,29.9,29.9,0.00
212,1.0,1,64,58.7,55,61,57.6,55,100,96.2,86,13,5.4,0,30.0,29.9,29.9,0.00
213,2.0,2,63,58.5,57,59,57.0,55,100,95.3,82,14,6.9,0,30.0,29.9,29.9,0.00
214,3.0,3,64,57.8,54,59,55.8,52,100,93.5,78,18,5.8,0,29.9,29.9,29.9,0.00
215,4.0,4,62,56.8,52,56,52.0,50,96,84.6,72,21,10.8,0,29.9,29.9,29.8,0.00
216,5.0,5,60,53.7,48,52,49.6,48,100,86.7,72,32,15.0,0,29.9,29.8,29.7,0.00
217,6.0,6,59,53.3,48,54,50.9,46,100,92.0,78,16,5.4,0,29.8,29.8,29.7,0.00
218,7.0,7,57,52.4,48,54,51.1,48,100,95.7,86,12,3.8,0,29.9,29.8,29.8,0.00
219,8.0,8,55,52.9,49,54,51.7,48,100,95.8,88,14,5.6,0,29.9,29.9,29.9,0.00
220,9.0,9,56,51.3,46,54,50.0,46,100,95.5,86,9,4.2,0,30.0,30.0,29.9,0.00
221,10.0,10,57,52.0,46,54,50.9,46,100,96.1,83,16,6.5,0,30.0,29.9,29.9,0.00
222,11.0,11,58,53.9,51,53,51.5,49,100,91.9,81,17,7.8,0,29.9,29.9,29.9,0.00
223,12.0,12,60,53.6,48,52,50.1,48,100,88.2,69,17,7.3,0,30.0,29.9,29.9,0.00
224,13.0,13,60,53.1,48,54,50.5,48,100,91.6,72,15,4.4,0,29.9,29.9,29.9,0.00
225,14.0,14,59,54.2,47,54,50.8,46,100,88.7,78,8,3.9,0,29.9,29.9,29.9,0.00
226,15.0,15,56,52.2,49,54,50.8,48,100,95.3,86,15,6.0,0,29.9,29.8,29.8,0.00
227,16.0,16,58,53.9,51,54,51.9,51,100,93.2,78,8,3.9,0,30.0,29.9,29.8,0.00
228,17.0,17,60,55.4,50,54,51.8,49,96,87.9,80,10,5.1,0,30.1,30.1,30.0,0.00
229,18.0,18,58,53.4,51,54,51.9,50,100,94.8,83,16,6.3,0,30.1,30.1,30.0,0.00
230,19.0,19,58,54.4,52,54,52.4,51,100,93.0,82,15,7.2,0,30.0,30.0,29.9,0.00
231,20.0,20,58,53.3,50,54,51.6,48,100,94.1,81,12,4.0,0,29.9,29.9,29.8,0.00
232,21.0,21,55,52.1,51,52,51.5,50,100,97.8,83,12,4.4,0,29.8,29.8,29.8,0.00
233,22.0,22,56,51.6,48,53,50.6,48,100,96.8,87,10,4.8,0,29.9,29.9,29.8,0.00
234,23.0,23,55,51.3,46,52,48.5,0,100,92.2,0,12,4.2,0,30.0,30.0,29.9,0.00
235,24.0,24,61,53.4,48,54,51.8,48,100,94.8,75,7,2.8,0,30.0,29.9,29.9,0.00
236,25.0,25,61,56.2,54,56,52.9,50,100,89.1,75,10,3.7,0,30.0,29.9,29.9,0.00
237,26.0,26,60,54.7,51,52,51.5,50,100,89.7,75,12,5.0,0,30.0,30.0,30.0,0.00
238,27.0,27,63,56.0,50,54,51.9,50,100,86.7,68,24,9.2,0,30.0,29.9,29.8,0.00
239,28.0,28,61,53.9,46,52,50.1,46,100,88.0,72,21,7.2,0,29.9,29.9,29.8,0.00
240,29.0,29,58,54.2,52,52,50.9,50,96,88.8,75,13,6.6,0,30.0,29.9,29.8,0.00
241,30.0,30,58,54.4,52,52,51.3,50,97,89.5,81,8,4.2,0,30.1,30.1,30.0,0.00
242,31.0,31,58,54.9,53,53,51.8,51,96,89.9,81,9,3.4,0,30.1,30.1,30.1,0.00
